count,ave_length,tech,aor
671,498.67809239940385,GPS,Atlanta
558,574.7616487455197,SmartLINK,Atlanta
1664,1126.344951923077,TR,Atlanta
1709,501.08484493856054,GPS,Baltimore
84,682.1309523809524,SmartLINK,Baltimore
949,879.8177028451001,TR,Baltimore
907,338.38257993384786,GPS,Boston
377,511.3129973474801,SmartLINK,Boston
170,739.9470588235295,TR,Boston
88,349.17045454545456,GPS,Buffalo
7,663.8571428571429,SmartLINK,Buffalo
349,1453.8853868194842,TR,Buffalo
2349,525.213282247765,GPS,Chicago
1549,835.3938024531956,SmartLINK,Chicago
2820,1296.081914893617,TR,Chicago
613,500.84502446982054,GPS,Dallas
160,753.1875,SmartLINK,Dallas
184,1117.858695652174,TR,Dallas
169,475.15976331360946,GPS,Denver
368,899.2228260869565,SmartLINK,Denver
889,1668.8413948256468,TR,Denver
500,530.268,GPS,Detroit
4400,652.6163636363636,SmartLINK,Detroit
2948,1276.7025101763907,TR,Detroit
127,204.25984251968504,GPS,El Paso
116,785.6293103448276,SmartLINK,El Paso
638,1124.065830721003,TR,El Paso
1489,545.0819341840161,GPS,Houston
482,845.2261410788382,SmartLINK,Houston
247,1430.923076923077,TR,Houston
3454,561.5975680370585,GPS,Los Angeles
772,871.2163212435233,SmartLINK,Los Angeles
5975,1044.6903765690377,TR,Los Angeles
3718,364.99919311457774,GPS,Miami
1122,537.867201426025,SmartLINK,Miami
298,559.7583892617449,TR,Miami
1494,535.1365461847389,GPS,New Orleans
843,779.7983392645315,SmartLINK,New Orleans
342,997.9619883040936,TR,New Orleans
1695,399.22654867256637,GPS,New York
175,555.32,SmartLINK,New York
1797,888.8124652198107,TR,New York
987,418.86828774062815,GPS,Newark
3787,745.3607076841828,SmartLINK,Newark
2301,1402.535419382877,TR,Newark
335,382.5880597014925,GPS,Philadelphia
1232,603.6452922077922,SmartLINK,Philadelphia
450,739.7555555555556,TR,Philadelphia
342,361.64619883040933,GPS,Phoenix
203,543.4926108374384,SmartLINK,Phoenix
85,705.364705882353,TR,Phoenix
241,492.65145228215766,GPS,Salt Lake City
2043,852.7596671561429,SmartLINK,Salt Lake City
702,1185.6695156695157,TR,Salt Lake City
532,323.6898496240602,GPS,San Antonio
264,701.75,SmartLINK,San Antonio
548,665.3795620437957,TR,San Antonio
670,608.8059701492538,GPS,San Diego
927,798.0312837108953,SmartLINK,San Diego
909,1198.014301430143,TR,San Diego
4099,521.6291778482557,GPS,San Francisco
1231,841.1153533712429,SmartLINK,San Francisco
5601,1279.7620067845028,TR,San Francisco
893,501.8241881298992,GPS,Seattle
1189,767.565180824222,SmartLINK,Seattle
1650,1159.4327272727273,TR,Seattle
277,518.2274368231047,GPS,St Paul
917,861.0185387131952,SmartLINK,St Paul
1033,1424.54211035818,TR,St Paul
1222,465.9975450081833,GPS,Washington DC
998,545.6042084168337,SmartLINK,Washington DC
481,701.4781704781705,TR,Washington DC
