count,ave_length,tech,aor
5749,70.64741694207689,GPS,Atlanta
93,301.9139784946237,SmartLINK,Atlanta
993,596.2175226586103,VoiceID,Atlanta
1728,239.52662037037038,GPS,Baltimore
75,441.28,SmartLINK,Baltimore
872,909.9082568807339,VoiceID,Baltimore
3222,178.5983860955928,GPS,Boston
200,479.05,SmartLINK,Boston
1056,707.7774621212121,VoiceID,Boston
97,306.35051546391753,GPS,Buffalo
0,0.0,SmartLINK,Buffalo
77,947.2077922077922,VoiceID,Buffalo
2031,195.7503692762186,GPS,Chicago
253,518.1818181818181,SmartLINK,Chicago
637,898.6326530612245,VoiceID,Chicago
2822,113.0595322466336,GPS,Dallas
12,344.0,SmartLINK,Dallas
224,971.3839285714286,VoiceID,Dallas
352,240.7471590909091,GPS,Denver
55,623.6545454545454,SmartLINK,Denver
586,1317.1109215017066,VoiceID,Denver
436,267.7270642201835,GPS,Detroit
226,353.4911504424779,SmartLINK,Detroit
599,794.0217028380634,VoiceID,Detroit
3605,35.88016643550624,GPS,El Paso
41,199.3658536585366,SmartLINK,El Paso
230,682.9391304347826,VoiceID,El Paso
4252,231.48047977422388,GPS,Houston
203,354.37931034482756,SmartLINK,Houston
807,934.2924411400248,VoiceID,Houston
1209,420.60876757650954,GPS,Los Angeles
102,642.7254901960785,SmartLINK,Los Angeles
4019,865.1112216969395,VoiceID,Los Angeles
9178,217.94366964480278,GPS,Miami
1180,306.18050847457624,SmartLINK,Miami
2815,841.9428063943161,VoiceID,Miami
6961,182.6468898146818,GPS,New Orleans
166,440.9759036144578,SmartLINK,New Orleans
336,667.9970238095239,VoiceID,New Orleans
957,202.44723092998956,GPS,New York
125,275.672,SmartLINK,New York
3382,698.8823181549379,VoiceID,New York
669,226.25859491778775,GPS,Newark
474,438.8333333333333,SmartLINK,Newark
465,979.094623655914,VoiceID,Newark
614,167.4657980456026,GPS,Philadelphia
638,247.49529780564262,SmartLINK,Philadelphia
278,500.71223021582733,VoiceID,Philadelphia
1592,56.71105527638191,GPS,Phoenix
45,309.9111111111111,SmartLINK,Phoenix
243,478.3333333333333,VoiceID,Phoenix
309,360.59223300970876,GPS,Salt Lake City
156,697.6602564102565,SmartLINK,Salt Lake City
284,877.3697183098592,VoiceID,Salt Lake City
2647,66.14544767661503,GPS,San Antonio
73,525.1095890410959,SmartLINK,San Antonio
300,731.8,VoiceID,San Antonio
1707,112.03749267721149,GPS,San Diego
22,526.0454545454545,SmartLINK,San Diego
97,802.0927835051547,VoiceID,San Diego
2269,286.59144997796386,GPS,San Francisco
182,483.88461538461536,SmartLINK,San Francisco
1221,793.2874692874693,VoiceID,San Francisco
241,284.9253112033195,GPS,Seattle
82,463.0975609756098,SmartLINK,Seattle
410,826.1170731707317,VoiceID,Seattle
1080,223.29444444444445,GPS,St Paul
206,805.9514563106796,SmartLINK,St Paul
323,867.2445820433436,VoiceID,St Paul
2191,264.61615700593336,GPS,WashingtonDC
1097,405.3527803099362,SmartLINK,WashingtonDC
1308,590.5145259938838,VoiceID,WashingtonDC
